time,upstream_reservoir_water_level,upstream_reservoir_outflow,upstream_reservoir_volume,upstream_reservoir_inflow,gate_1_opening,gate_1_outflow,canal_water_level,canal_inflow,canal_outflow,downstream_reservoir_water_level,downstream_reservoir_outflow,downstream_reservoir_volume,downstream_reservoir_inflow
0.0,9.998019091117694,19.809088823063014,99980.19091117693,0.0,0.5,19.805164434331683,5.000862482454683,19.805164434331683,11.180339887498949,4.0011180339887495,0,40011.1803398875,11.180339887498949
1.0,9.996038745565402,19.803455522909964,99960.38745565402,0.0,0.5,19.79953113406803,5.001724305155028,19.79953113406803,11.18130413061764,4.002236164401811,0,40022.361644018114,11.18130413061764
2.0,9.994058963260997,19.797823044047195,99940.58963260998,0.0,0.5,19.79389865509462,5.002585468265228,19.79389865509462,11.182267553089387,4.003354391157121,0,40033.54391157121,11.182267553089387
3.0,9.992079744122329,19.792191386687527,99920.79744122329,0.0,0.5,19.788266997624255,5.00344597194946,19.788266997624255,11.183230155309811,4.0044727141726515,0,40044.727141726515,11.183230155309811
4.0,9.990101088067224,19.7865605510439,99901.01088067224,0.0,0.5,19.78263616186989,5.004305816371879,19.78263616186989,11.184191937674196,4.005591133366419,0,40055.91133366419,11.184191937674196
5.0,9.988122995013493,19.780930537329397,99881.22995013492,0.0,0.5,19.7770061480446,5.005165001696626,19.7770061480446,11.185152900577487,4.006709648656477,0,40067.09648656477,11.185152900577487
6.0,9.986145464878916,19.77530134575723,99861.45464878916,0.0,0.5,19.771376956361593,5.0060235280878205,19.771376956361593,11.186113044414295,4.0078282599609185,0,40078.282599609185,11.186113044414295
7.0,9.984168497581262,19.76967297654074,99841.68497581262,0.0,0.5,19.76574858703422,5.006881395709566,19.76574858703422,11.187072369578894,4.008946967197876,0,40089.46967197876,11.187072369578894
8.0,9.982192093038272,19.76404542989341,99821.92093038272,0.0,0.5,19.760121040275962,5.007738604725947,19.760121040275962,11.188030876465223,4.0100657702855225,0,40100.65770285523,11.188030876465223
9.0,9.98021625116767,19.758418706028863,99802.1625116767,0.0,0.5,19.75449431630044,5.00859515530103,19.75449431630044,11.188988565466884,4.01118466914207,0,40111.846691420695,11.188988565466884
10.0,9.978240971887153,19.75279280516084,99782.40971887154,0.0,0.5,19.748868415321393,5.009451047598865,19.748868415321393,11.189945436977151,4.012303663685767,0,40123.03663685767,11.189945436977151
11.0,9.976266255114403,19.747167727503225,99762.66255114404,0.0,0.5,19.743243337552713,5.010306281783481,19.743243337552713,11.190901491388958,4.013422753834907,0,40134.22753834906,11.190901491388958
12.0,9.974292100767077,19.74154347327004,99742.92100767077,0.0,0.5,19.737619083208404,5.011160858018893,19.737619083208404,11.191856729094912,4.014541939507816,0,40145.419395078156,11.191856729094912
13.0,9.97231850876281,19.735920042675424,99723.1850876281,0.0,0.5,19.73199565250263,5.012014776469094,19.73199565250263,11.192811150487277,4.015661220622865,0,40156.612206228645,11.192811150487277
14.0,9.970345479019215,19.73029743593367,99703.45479019216,0.0,0.5,19.726373045649662,5.012868037298063,19.726373045649662,11.193764755957996,4.01678059709846,0,40167.805970984606,11.193764755957996
15.0,9.96837301145389,19.724675653259194,99683.7301145389,0.0,0.5,19.72075126286393,5.01372064066976,19.72075126286393,11.194717545898671,4.01790006885305,0,40179.000688530505,11.194717545898671
16.0,9.966401105984403,19.71905469486655,99664.01105984404,0.0,0.5,19.715130304359977,5.014572586748126,19.715130304359977,11.195669520700582,4.01901963580512,0,40190.1963580512,11.195669520700582
17.0,9.964429762528306,19.71343456097042,99644.29762528307,0.0,0.5,19.709510170352498,5.015423875697086,19.709510170352498,11.19662068075467,4.020139297873196,0,40201.39297873196,11.19662068075467
18.0,9.96245898100313,19.70781525178563,99624.58981003129,0.0,0.5,19.70389086105631,5.016274507680547,19.70389086105631,11.197571026451547,4.021259054975841,0,40212.59054975841,11.197571026451547
19.0,9.960488761326376,19.702196767527127,99604.88761326377,0.0,0.5,19.698272376686354,5.017124482862397,19.698272376686354,11.1985205581815,4.022378907031659,0,40223.78907031659,11.1985205581815
20.0,9.958519103415536,19.696579108409995,99585.19103415536,0.0,0.5,19.692654717457735,5.01797380140651,19.692654717457735,11.19946927633448,4.023498853959293,0,40234.98853959292,11.19946927633448
