time,Channel_1_integral_coeff,Channel_1_time_delay,Channel_1_true_integral,Channel_1_true_delay,Channel_1_integral_error,Channel_1_delay_error,Channel_2_integral_coeff,Channel_2_time_delay,Channel_2_true_integral,Channel_2_true_delay,Channel_2_integral_error,Channel_2_delay_error,Channel_3_integral_coeff,Channel_3_time_delay,Channel_3_true_integral,Channel_3_true_delay,Channel_3_integral_error,Channel_3_delay_error
0.0,0.1,2.0,0.15,2.5,0.04999999999999999,0.5,2.0,2.5,1.8,3.0,0.19999999999999996,0.5,0.1,2.5,0.12,2.8,0.01999999999999999,0.2999999999999998
0.1,0.10326691499462934,2.0016029078609057,0.15,2.5,0.046733085005370656,0.49839709213909433,1.9885510850033952,2.5156246684013355,1.8,3.0,0.18855108500339512,0.4843753315986645,0.09833108488607757,2.4857521890135845,0.12,2.8,0.021668915113922424,0.3142478109864153
0.2,0.10145995284691173,2.0221058280261692,0.15,2.5,0.04854004715308827,0.4778941719738308,1.9889268485095506,2.5371995804247547,1.8,3.0,0.18892684850955055,0.4628004195752453,0.09608521718989893,2.4995527982352246,0.12,2.8,0.023914782810101065,0.30044720176477524
0.30000000000000004,0.09984830321552111,2.0576377824012257,0.15,2.5,0.05015169678447888,0.44236221759877425,1.9833902570524582,2.558804745030913,1.8,3.0,0.18339025705245815,0.4411952549690872,0.10167739462009892,2.4989619835768635,0.12,2.8,0.018322605379901075,0.3010380164231363
0.4,0.09785219538150942,2.0706004808324163,0.15,2.5,0.05214780461849057,0.4293995191675837,1.9766226595873355,2.5567446411168238,1.8,3.0,0.17662265958733547,0.44325535888317624,0.10597504294343132,2.4785402761939914,0.12,2.8,0.014024957056568671,0.3214597238060084
0.5,0.10974663979270007,2.044733561623036,0.15,2.5,0.04025336020729993,0.455266438376964,1.9799447676397737,2.607269577402964,1.8,3.0,0.17994476763977363,0.39273042259703583,0.10275466113727814,2.4908550996053944,0.12,2.8,0.01724533886272185,0.3091449003946054
0.6000000000000001,0.1177573613045987,2.0259640816676603,0.15,2.5,0.032242638695401296,0.4740359183323397,1.9844722800006538,2.6255671983737012,1.8,3.0,0.18447228000065374,0.3744328016262988,0.10153393871353496,2.5154204768955992,0.12,2.8,0.018466061286465038,0.2845795231044006
0.7000000000000001,0.11539468451843159,1.9642230896092436,0.15,2.5,0.03460531548156841,0.5357769103907564,1.9891313697554591,2.6419870142529396,1.8,3.0,0.18913136975545908,0.3580129857470604,0.10685355903384336,2.534166160635825,0.12,2.8,0.013146440966156636,0.2658338393641748
0.8,0.12275873790715024,1.9885330803733452,0.15,2.5,0.027241262092849758,0.5114669196266548,1.9951413653122452,2.617523821088487,1.8,3.0,0.19514136531224513,0.3824761789115132,0.10354282686254061,2.524764813616833,0.12,2.8,0.016457173137459383,0.275235186383167
0.9,0.11426733652144971,2.0015541510985235,0.15,2.5,0.03573266347855028,0.4984458489014765,1.9879081512035779,2.584801402557359,1.8,3.0,0.18790815120357784,0.41519859744264087,0.10236981921405752,2.5199736991807202,0.12,2.8,0.017630180785942473,0.2800263008192796
